Ticker,TickerType,Company,Traded,Transaction,Trade_Size_USD,Status,Subholding,Description,Name,BioGuideID,Filed,Party,District,Chamber,Comments,Quiver_Upload_Time,excess_return,State,last_modified
FCEL,ST,"FUELCELL ENERGY, INC.",2020-07-23,Sale,"$1,001 - $15,000",NEW,,,Austin Scott,S001189,2020-09-20,R, GA08,House,,2020-09-27,-177.495304191065,Georgia,2023-11-16
FCEL,ST,"FUELCELL ENERGY, INC.",2020-07-21,Purchase,"$1,001 - $15,000",NEW,,,Austin Scott,S001189,2020-09-20,R, GA08,House,,2020-09-27,-176.625337323271,Georgia,2023-11-16
KPLT,ST,"KATAPULT HOLDINGS, INC.",2020-07-16,Purchase,"$15,001 - $50,000",NEW,VIVIEN G SCOTT IRA,,Austin Scott,S001189,2021-08-13,R, GA08,House,,2021-08-16,,Georgia,2023-11-16
NVVE,ST,NUVVE HOLDING CORP.,2020-07-16,Purchase,"$1,001 - $15,000",NEW,VIVIEN G SCOTT IRA,,Austin Scott,S001189,2021-08-13,R, GA08,House,,2021-08-16,,Georgia,2023-11-16
PYPL,OP,"PAYPAL HOLDINGS, INC.",2020-06-24,Purchase,"$250,001 - $500,000",NEW,,PURCHASED 50 CALL OPTIONS WITH A STRIKE PRICE OF $100 AND AN EXPIRATION DATE OF 1/21/2022.,Nancy Pelosi,P000197,2020-07-20,D, CA12,House,,2020-07-26,-143.560229514007,California,2023-11-16
AXP,OP,AMERICAN EXPRESS COMPANY,2020-06-24,Purchase,"$100,001 - $250,000",NEW,,PURCHASED 50 CALL OPTIONS WITH A STRIKE PRICE OF $80 AND AN EXPIRATION DATE OF 1/21/2022.,Nancy Pelosi,P000197,2020-07-20,D, CA12,House,,2020-07-26,105.726340099175,California,2023-11-16
AAPL,OP,APPLE INC.,2020-06-18,Sale,"$1,000,001 - $5,000,000",NEW,,SOLD 100 CALL OPTIONS WITH A STRIKE PRICE OF $145 AND AN EXPIRATION DATE OF 6/19/2020.,Nancy Pelosi,P000197,2020-07-20,D, CA12,House,,2020-07-26,64.4880094911318,California,2023-11-16
NFLX,ST,"NETFLIX, INC.",2020-06-18,Purchase,"$1,000,001 - $5,000,000",NEW,,"EXERCISED 50 CALL OPTIONS (5,000 SHARES) EXPIRING 6/19/2020 AT A STRIKE PRICE OF $250.",Nancy Pelosi,P000197,2020-07-20,D, CA12,House,,2020-07-26,-6.92432871034869,California,2023-11-16
CRM,ST,SALESFORCE.COM INC,2020-06-18,Purchase,"$1,000,001 - $5,000,000",NEW,,"EXERCISED 100 CALL OPTIONS (10,000 SHARES) EXPIRING 6/19/2020 AT A STRIKE PRICE OF $140.",Nancy Pelosi,P000197,2020-07-20,D, CA12,House,,2020-07-26,-9.43126843348979,California,2023-11-16
PYPL,ST,"PAYPAL HOLDINGS, INC.",2020-06-12,Purchase,"$500,001 - $1,000,000",NEW,,"PURCHASED 5,000 SHARES.",Nancy Pelosi,P000197,2020-07-20,D, CA12,House,,2020-07-26,-140.092849218808,California,2023-11-16
PYPL,ST,"PAYPAL HOLDINGS, INC.",2020-06-12,Purchase,"$500,001 - $1,000,000",NEW,,"PURCHASED 5,000 SHARES.",Nancy Pelosi,P000197,2020-07-20,D, CA12,House,,2020-07-26,-140.092849218808,California,2023-11-16
ETP,ST,"ENERGY TRANSFER PARTNERS, L.P. COMMON UNITS REPRESENTING LIMITED PARTNER INTERESTS",2020-05-19,Purchase,"$1,001 - $15,000",NEW,CHARLES SWABB ACCOUNT,,Bob Gibbs,G000563,2020-06-05,R, OH07,House,,2020-07-26,,Ohio,2023-11-16
AAPL,ST,APPLE INC.,2020-05-08,Sale,"$500,001 - $1,000,000",NEW,,"SOLD 1,700 SHARES.",Nancy Pelosi,P000197,2020-06-09,D, CA12,House,,2020-07-26,86.0882266926044,California,2023-11-16
AAPL,ST,APPLE INC.,2020-05-08,Sale,"$500,001 - $1,000,000",NEW,,"SOLD 3,000 SHARES.",Nancy Pelosi,P000197,2020-06-09,D, CA12,House,,2020-07-26,86.0882266926044,California,2023-11-16
AAPL,ST,APPLE INC.,2020-05-08,Sale,"$1,000,001 - $5,000,000",NEW,,"SOLD 3,300 SHARES.",Nancy Pelosi,P000197,2020-06-09,D, CA12,House,,2020-07-26,86.0882266926044,California,2023-11-16
V,ST,VISA INC.,2020-05-08,Sale,"$500,001 - $1,000,000",NEW,,"SOLD 3,000 SHARES.",Nancy Pelosi,P000197,2020-06-09,D, CA12,House,,2020-07-26,-37.0622871686667,California,2023-11-16
V,ST,VISA INC.,2020-05-08,Sale,"$500,001 - $1,000,000",NEW,,"SOLD 3,000 SHARES.",Nancy Pelosi,P000197,2020-06-09,D, CA12,House,,2020-07-26,-37.0622871686667,California,2023-11-16
FB,ST,"FACEBOOK, INC. - CLASS A",2020-05-08,Sale,"$1,000,001 - $5,000,000",NEW,,"SOLD 5,000 SHARES.",Nancy Pelosi,P000197,2020-06-09,D, CA12,House,,2020-07-26,-48.0299068427567,California,2023-11-16
MORN,ST,"MORNINGSTAR, INC.",2020-05-08,Sale,"$100,001 - $250,000",NEW,,"SOLD 1,700 SHARES.",Nancy Pelosi,P000197,2020-06-09,D, CA12,House,,2020-07-26,37.1174212601578,California,2023-11-16
IBKR,ST,"INTERACTIVE BROKERS GROUP, INC. - CLASS A",2020-05-08,Sale,"$100,001 - $250,000",NEW,,"SOLD 3,000 SHARES.",Nancy Pelosi,P000197,2020-06-09,D, CA12,House,,2020-07-26,230.087055164409,California,2023-11-16
MRK,ST,"MERCK & COMPANY, INC. COMMON STOCK",2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-98.4563541750746,Utah,2023-11-16
MSFT,ST,MICROSOFT CORPORATION,2020-03-27,Purchase,"$15,001 - $50,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,48.257874505345,Utah,2023-11-16
ATVI,ST,"ACTIVISION BLIZZARD, INC",2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-5.37600894881137,Utah,2023-11-16
AMAT,ST,"APPLIED MATERIALS, INC.",2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,169.972305957965,Utah,2023-11-16
BDX,ST,"BECTON, DICKINSON AND COMPANY",2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-129.017234705905,Utah,2023-11-16
PG,ST,PROCTER & GAMBLE COMPANY,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-84.5741748767692,Utah,2023-11-16
GOOGL,ST,ALPHABET INC. - CLASS A,2020-03-27,Purchase,"$15,001 - $50,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,86.4539671812726,Utah,2023-11-16
PEP,ST,"PEPSICO, INC.",2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-99.0177714791915,Utah,2023-11-16
CVX,ST,CHEVRON CORPORATION,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-5.01210443674003,Utah,2023-11-16
